Adj_Open,Adj_High,Adj_Low,Adj_Close
0.478181015,0.479913032,0.478181015,0.478181015
0.478181015,0.479913032,0.478181015,0.478181015
0.456386468,0.456386468,0.454654451,0.454654451
0.454654451,0.45826282,0.454654451,0.454654451
0.463603206,0.465479557,0.463603206,0.463603206
0.45826282,0.45826282,0.456386468,0.456386468
0.442097329,0.442097329,0.440220977,0.440220977
0.449169731,0.451046083,0.449169731,0.449169731
0.454654451,0.460139172,0.454654451,0.454654451
0.474428312,0.476304663,0.474428312,0.474428312
0.470964278,0.470964278,0.469087926,0.469087926
0.469087926,0.469087926,0.467211574,0.467211574
0.460139172,0.460139172,0.45826282,0.45826282
0.452922435,0.452922435,0.451046083,0.451046083
0.451046083,0.452922435,0.449169731,0.449169731
0.438344625,0.438344625,0.436612608,0.436612608
0.422179134,0.422179134,0.420447117,0.420447117
0.427663854,0.431127888,0.427663854,0.427663854
0.420447117,0.420447117,0.416694413,0.416694413
0.425787502,0.427663854,0.425787502,0.425787502
0.42391115,0.42391115,0.420447117,0.420447117
0.409622011,0.409622011,0.405869307,0.405869307
0.377146693,0.377146693,0.375270341,0.375270341
0.373393989,0.373393989,0.371661972,0.371661972
0.371661972,0.373393989,0.371661972,0.371661972
0.362568883,0.362568883,0.359104849,0.359104849
0.362568883,0.366177252,0.362568883,0.362568883
0.377146693,0.37887871,0.377146693,0.377146693
0.35001176,0.35001176,0.348135409,0.348135409
0.322876828,0.322876828,0.321144811,0.321144811
0.328361548,0.330093565,0.328361548,0.328361548
0.342795023,0.346403392,0.342795023,0.342795023
0.351888112,0.353620129,0.351888112,0.351888112
0.360836866,0.364445235,0.360836866,0.360836866
0.373393989,0.375270341,0.373393989,0.373393989
0.35001176,0.35001176,0.348135409,0.348135409
0.348135409,0.348135409,0.346403392,0.346403392
0.330093565,0.330093565,0.326629531,0.326629531
0.335578286,0.337310303,0.335578286,0.335578286
0.346403392,0.348135409,0.346403392,0.346403392
0.360836866,0.362568883,0.360836866,0.360836866
0.35001176,0.35001176,0.348135409,0.348135409
0.344671375,0.344671375,0.342795023,0.342795023
0.355352146,0.359104849,0.355352146,0.355352146
0.360836866,0.362568883,0.360836866,0.360836866
0.360836866,0.360836866,0.357228498,0.357228498
0.362568883,0.364445235,0.362568883,0.362568883
0.373393989,0.375270341,0.373393989,0.373393989
0.366177252,0.366177252,0.364445235,0.364445235
0.364445235,0.366177252,0.364445235,0.364445235
0.357228498,0.357228498,0.353620129,0.353620129
0.348135409,0.348135409,0.346403392,0.346403392
0.337310303,0.337310303,0.335578286,0.335578286
0.333846269,0.333846269,0.330093565,0.330093565
0.322876828,0.322876828,0.319412794,0.319412794
0.315660091,0.315660091,0.312051722,0.312051722
0.312051722,0.312051722,0.308587688,0.308587688
0.312051722,0.313928074,0.312051722,0.312051722
0.294154213,0.294154213,0.290545845,0.290545845
0.274236018,0.274236018,0.272359667,0.272359667
0.279576404,0.281452756,0.279576404,0.279576404
0.27611237,0.27611237,0.274236018,0.274236018
0.27611237,0.277844387,0.27611237,0.27611237
0.290545845,0.292277862,0.290545845,0.290545845
0.290545845,0.292277862,0.290545845,0.290545845
0.308587688,0.310319705,0.308587688,0.308587688
0.313928074,0.315660091,0.313928074,0.313928074
0.301370951,0.301370951,0.297618247,0.297618247
0.29588623,0.29588623,0.294154213,0.294154213
0.286793141,0.286793141,0.285061124,0.285061124
0.285061124,0.286793141,0.285061124,0.285061124
0.286793141,0.288669493,0.286793141,0.286793141
0.285061124,0.285061124,0.283329107,0.283329107
0.27611237,0.27611237,0.274236018,0.274236018
0.268895633,0.268895633,0.267019281,0.267019281
0.263410912,0.263410912,0.261534561,0.261534561
0.256194175,0.256194175,0.254317823,0.254317823
0.256194175,0.258070527,0.256194175,0.256194175
0.258070527,0.259802544,0.258070527,0.258070527
0.245369069,0.245369069,0.243637052,0.243637052
0.2417607,0.2417607,0.238152332,0.238152332
0.238152332,0.238152332,0.23627598,0.23627598
0.209285382,0.209285382,0.205677014,0.205677014
0.207553365,0.209285382,0.207553365,0.207553365
0.218378471,0.220110488,0.218378471,0.218378471
0.220110488,0.221842505,0.220110488,0.220110488
0.220110488,0.221842505,0.220110488,0.220110488
0.238152332,0.240028683,0.238152332,0.238152332
0.245369069,0.248977438,0.245369069,0.245369069
0.245369069,0.245369069,0.243637052,0.243637052
0.258070527,0.261534561,0.258070527,0.258070527
0.267019281,0.268895633,0.267019281,0.267019281
0.268895633,0.272359667,0.268895633,0.268895633
0.277844387,0.279576404,0.277844387,0.277844387
0.277844387,0.281452756,0.277844387,0.277844387
0.263410912,0.263410912,0.261534561,0.261534561
0.267019281,0.268895633,0.267019281,0.267019281
0.265142929,0.265142929,0.263410912,0.263410912
0.268895633,0.27062765,0.268895633,0.268895633
0.283329107,0.285061124,0.283329107,0.283329107
0.283329107,0.285061124,0.283329107,0.283329107
0.283329107,0.283329107,0.281452756,0.281452756
0.27611237,0.27611237,0.274236018,0.274236018
0.274236018,0.27611237,0.274236018,0.274236018
0.279576404,0.283329107,0.279576404,0.279576404
0.288669493,0.290545845,0.288669493,0.288669493
0.286793141,0.286793141,0.285061124,0.285061124
0.288669493,0.290545845,0.288669493,0.288669493
0.288669493,0.290545845,0.288669493,0.288669493
0.286793141,0.286793141,0.285061124,0.285061124
0.279576404,0.279576404,0.277844387,0.277844387
0.259802544,0.259802544,0.258070527,0.258070527
0.259802544,0.261534561,0.259802544,0.259802544
0.263410912,0.265142929,0.263410912,0.263410912
0.265142929,0.267019281,0.265142929,0.265142929
0.272359667,0.274236018,0.272359667,0.272359667
0.281452756,0.283329107,0.281452756,0.281452756
0.263410912,0.263410912,0.261534561,0.261534561
0.259802544,0.259802544,0.258070527,0.258070527
0.263410912,0.265142929,0.263410912,0.263410912
0.272359667,0.274236018,0.272359667,0.272359667
0.272359667,0.274236018,0.272359667,0.272359667
0.274236018,0.27611237,0.274236018,0.274236018
0.265142929,0.265142929,0.261534561,0.261534561
0.261534561,0.261534561,0.259802544,0.259802544
0.265142929,0.267019281,0.265142929,0.265142929
0.272359667,0.274236018,0.272359667,0.272359667
0.27062765,0.27062765,0.268895633,0.268895633
0.268895633,0.27062765,0.268895633,0.268895633
0.27062765,0.272359667,0.27062765,0.27062765
0.268895633,0.268895633,0.267019281,0.267019281
0.274236018,0.27611237,0.274236018,0.274236018
0.27611237,0.277844387,0.27611237,0.27611237
0.274236018,0.274236018,0.27062765,0.27062765
0.272359667,0.274236018,0.272359667,0.272359667
0.272359667,0.274236018,0.272359667,0.272359667
