Date,AAPL,MSFT,GOOG,SPY
2016-01-04,101.78376337717,52.181597798987,741.84,190.54885864257812
2016-01-05,99.233130863492,52.419652533471,742.58,190.8711700439453
2016-01-06,97.291172017853,51.467433595533,743.62,188.4635009765625
2016-01-07,93.185040130307,49.67726199221,726.39,183.9419708251953
2016-01-08,93.677775956812,49.82961702228,714.47,181.92291259765625
2016-01-11,95.194629383506,49.801050454142,716.03,182.10299682617188
2016-01-12,96.57622199508,50.258115544352,726.07,183.572265625
2016-01-13,94.093219888964,49.172585955103,700.56,178.993896484375
2016-01-14,96.151116576134,50.572347793872,714.72,181.932373046875
2016-01-15,93.842021232314,48.553643645444,694.45,178.0269775390625
2016-01-19,93.387931352986,48.144189502131,701.79,178.2639617919922
2016-01-20,93.513530681311,48.363199857856,698.45,175.97950744628906
2016-01-21,93.040117828394,48.068011987096,706.59,176.96533203125
2016-01-22,97.986799067037,49.791528264763,725.25,180.59584045410156
2016-01-25,96.07382468178,49.315418795794,711.67,177.8658447265625
2016-01-26,96.605206455463,49.67726199221,713.04,180.29248046875
2016-01-27,90.257609631657,48.77265400117,699.99,178.33035278320312
2016-01-28,90.90492924687,49.567756814348,730.96,179.25926208496094
2016-01-29,94.044912454993,52.457741290988,742.95,183.62916564941406
2016-02-01,93.165717156719,52.095898094572,752.0,183.56277465820312
2016-02-02,91.281727231844,50.467603710699,764.65,180.2545928955078
2016-02-03,93.088425262365,49.667739802831,726.95,181.335205078125
2016-02-04,93.83235974552,49.515384772761,708.01,181.61956787109375
2016-02-05,91.32627808772,47.763301926956,683.57,178.1597137451172
2016-02-08,92.28791407269,47.049137723502,682.74,175.76148986816406
2016-02-09,92.268487083095,46.92534926157,678.11,175.77098083496094
2016-02-10,91.569115457662,47.334803404884,684.12,175.6193389892578
2016-02-11,91.015446254195,47.315759026125,683.11,173.3348388671875
2016-02-12,91.297137603327,48.087056365854,682.4,176.90843200683594
2016-02-16,93.871213724711,48.991664356895,691.0,179.8943634033203
2016-02-17,95.308810954766,50.267039451721,708.4,182.8328857421875
2016-02-18,93.502100922399,50.046485863894,697.35,182.08404541015625
2016-02-19,93.28840403685,49.691682266086,700.91,181.9987335205078
2016-02-22,94.104337599855,50.487593039549,706.46,184.63392639160156
2016-02-23,91.977082239165,49.077967934741,695.85,182.30209350585938
2016-02-24,93.346685005636,49.250575090431,699.56,183.13623046875
2016-02-25,93.987775662283,49.960182286049,705.75,185.3543243408203
2016-02-26,94.133478084248,49.193039371868,705.07,184.92779541015625
2016-02-29,93.919781198699,48.790289341923,697.77,183.4774627685547
2016-03-01,97.649763201006,50.420468034558,718.81,187.7904815673828
2016-03-02,97.863460086554,50.775271632366,718.85,188.6341094970703
2016-03-03,98.59197219638,50.199914446731,712.42,189.3734588623047
2016-03-04,100.05870991083,49.893057281058,710.89,189.98960876464844
2016-03-07,98.951371503894,48.934128638332,695.16,190.1413116455078
2016-03-08,98.135437940889,49.528664396822,693.97,188.06536865234375
2016-03-09,98.222859394068,50.669789481667,705.24,188.9943389892578
2016-03-10,98.271426868057,49.912235853913,712.82,189.14596557617188
2016-03-11,99.330197801003,50.890343069494,726.82,192.19825744628906
2016-03-14,99.582748665742,50.986235933766,730.49,191.95181274414062
2016-03-15,101.58372859406,51.388985963711,728.33,191.63897705078125
2016-03-16,102.93390437094,52.117771732184,736.09,192.74801635742188
2016-03-17,102.76877495938,52.415039611429,737.78,193.97085571289062
2016-03-18,102.88533689695,51.293093099439,737.6,194.7327117919922
2016-03-21,102.87562340215,51.647896697248,742.09,195.00901794433594
2016-03-22,103.66241648077,51.84927171222,740.75,194.90420532226562
2016-03-23,103.0893202877,51.753378847947,738.06,193.61795043945312
2016-03-24,102.64249952701,51.983521722202,735.3,193.5321807861328
2016-03-28,102.17625177672,51.341039531575,733.53,193.64651489257812
2016-03-29,104.59491198134,52.462986043565,744.77,195.43775939941406
2016-03-30,106.4210490033,52.789021782092,750.53,196.29527282714844
2016-03-31,105.86737979984,52.961628937783,744.95,195.81887817382812
2016-04-01,106.8387292796,53.28766467631,749.91,197.15283203125
2016-04-04,107.93635419174,53.153414666328,745.29,196.51443481445312
2016-04-05,106.66388637325,52.319146747156,737.8,194.5516815185547
2016-04-06,107.78093827498,52.856146787083,745.69,196.67642211914062
2016-04-07,105.43027253394,52.223253882883,740.28,194.32298278808594
2016-04-08,105.54683447151,52.184896737174,739.15,194.8470458984375
2016-04-11,105.89652028423,52.079414586474,736.1,194.38970947265625
2016-04-12,107.2758365455,52.405450325001,743.09,196.20001220703125
2016-04-13,108.82999571313,53.07670037491,751.72,198.18182373046875
2016-04-14,108.88827668191,53.086289661337,753.2,198.19134521484375
2016-04-15,106.70274035244,53.364378967728,759.0,197.97218322753906
2016-04-18,104.40064208539,54.141111168336,766.61,199.36329650878906
2016-04-19,103.84697288192,54.073986163345,753.93,199.99215698242188
2016-04-20,104.06066976747,53.306843249164,752.67,200.1827392578125
2016-04-21,102.93390437094,53.489039691282,759.14,199.10604858398438
2016-04-22,102.65221302181,49.653325120376,718.77,199.10604858398438
2016-04-25,102.06940333395,49.969771572476,723.15,198.76303100585938
2016-04-26,101.36031821372,49.327289381849,708.14,199.05838012695312
2016-04-27,95.017406110836,48.847825060486,705.84,199.4680938720703
2016-04-28,92.113071166332,47.850539272051,691.02,197.6577911376953
2016-04-29,91.054300233386,47.821771412769,693.01,196.5906524658203
2016-05-02,90.957165285409,48.531378608387,698.21,198.15325927734375
2016-05-03,92.453043484251,47.735467834924,692.36,196.4286651611328
